"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Amount","amount","number","The total amount of the deal","2_-_revenue_information","false","","false","true","false","false","false","true","HubSpot","Calculated property (2); Rollup property (1); Inbounddb lists (2); Automation platform flow (2); Report (127); Integration (1); Data sync mapping (1); Dataset (17); Sales view (70); Dependent conditional field (2); Association table card (4); Properties v3 card (4); Association v3 card (1); Controlling pipeline stage field (2)","75.33%","1/29/26 1:51 PM CST","CRM UI"
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Calculated property (2); Rollup property (5); Automation platform flow (1); Report (112); Sales view (3); Goal target (360)","75.33%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Dataset (2); Sales view (31); Properties v3 card (2)","14.77%","1/29/26 10:54 AM CST","HubSpot Calculation"
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","2_-_revenue_information","false","","false","true","false","false","false","true","HubSpot","Calculated property (1)","0.46%","3/14/25 11:50 AM CDT","Record Merge"
"Deal Split Added","hs_is_deal_split","bool","Indicates if the deal is split between multiple users.","2_-_revenue_information","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Properties v3 card (2)","100%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Rollup property (1); Report (1); Dataset (3); Sales view (33); Data highlights card (1); Association table card (1); Properties v3 card (3)","14.77%","1/29/26 10:54 AM CST","HubSpot Calculation"
"Amount of in-person meetings (Manual Override)","amount_of_in_person_meetings","number","","4_-_qualification","true","","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1); Properties v3 card (1); Controlling pipeline stage field (1)","0.87%","1/27/26 10:56 AM CST","CRM UI"
"Closed Lost - Budget","closed_lost___budget","enumeration","","4_-_qualification","true","Not ICP (Less than $5M Budget); Spending elsewhere; Too expensive; Lack of Belief","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1)","3.5%","1/22/26 11:24 AM CST","CRM UI"
"Closed Lost Reason (dropdown)","closed_lost_reason__dropdown_","enumeration","","4_-_qualification","true","Not Qualified; Went Dark; Timing; Budget; Feature Gap; Lost to Competitor; Cancelled Evaluation; BDR - No Show; Other; No Local Focus","false","false","false","false","false","false","Declan Watts","Automation platform flow (1); Report (10); Dataset (1); Sales view (28); Dependent conditional field (2); Controlling conditional field (1); Controlling conditional options field (1); Controlling pipeline stage field (2)","39.44%","1/22/26 11:24 AM CST","CRM UI"
"Closed Won Reason (dropdown)","closed_won_reason__dropdown_","enumeration","Select no more than 3 options","4_-_qualification","true","Actionable Insights (Data&Analytics) (Actionable Insights); Competitive Pricing; Content Preservation; Digital Legacy; FOMO; Global Reach; Limitless Accessibility; Local Focus; Ongoing Account Management; Standard of Excellence; Donors","false","false","false","false","false","false","Andrea Laurent","Automation platform flow (3); Report (1); Dataset (1); Sales view (23); Dependent conditional field (4); Association table card (1); Properties v3 card (1); Controlling pipeline stage field (4)","7.41%","1/27/26 10:56 AM CST","CRM UI"
"Days to close","days_to_close","number","The number of days the deal took to close","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (18); Dataset (1); Sales view (10); Properties v3 card (1)","100%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (2); Sales view (29); Properties v3 card (2)","97.79%","1/29/26 1:51 PM CST","CRM UI"
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1); Properties v3 card (1)","17.9%","1/29/26 5:41 PM CST","HubSpot AI"
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","4_-_qualification","false","","false","true","false","false","false","true","HubSpot","Calculated property (4); Rollup property (4); Report (4); Properties v3 card (1)","100%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","4_-_qualification","false","","true","true","true","false","false","true","HubSpot","Report (4); Sales view (21); Properties v3 card (1)","75.33%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","4_-_qualification","false","","false","true","false","false","false","true","HubSpot","Calculated property (1); Automation platform flow (1); Properties v3 card (1)","63.78%","9/9/25 12:29 PM CDT","Record Merge"
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","4_-_qualification","false","Not forecasted (OMIT) [READ-ONLY]; Pipeline (PIPELINE); Best case (BEST_CASE); Commit (COMMIT); Closed won (CLOSED) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Automation platform flow (4); Report (2); Dataset (1); Properties v3 card (1)","97.65%","1/29/26 1:51 PM CST","Workflow"
"Priority","hs_priority","enumeration","","4_-_qualification","false","Low (low); Medium (medium); High (high)","false","true","false","false","false","true","HubSpot","Sales view (2); Properties v3 card (3)","0%","",""
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (5); Sales view (21); Properties v3 card (1)","75.33%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","The deal’s amount in home currency multiplied by its probability of closing, which is determined based on the deal’s stage and the probability that was assigned to it in deal pipeline settings.","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (5); Properties v3 card (1)","75.33%","1/29/26 1:51 PM CST","HubSpot Calculation"
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the Deal based on their permissions. This can be set manually or through Workflows or APIs.","4_-_qualification","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the Deal based on their permissions. This can be set manually or through Workflows and APIs.","4_-_qualification","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (1); Sales view (30); Properties v3 card (1)","48%","1/29/26 4:03 PM CST","CRM Setting"
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","","100%","1/29/26 1:51 PM CST","CRM UI"
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of the deal.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (32)","88.31%","1/29/26 1:51 PM CST","CRM UI"
"Pray Source","pray_source","enumeration","","4_-_qualification","true","Conference; Referral; Agency; Lead List; TV; Radio; Social; BDR; Vendor; Personal Network; Instagram; Facebook; LinkedIn","false","false","false","false","false","false","Andrea Laurent","Report (19); Sales view (1); Controlling conditional field (3)","29.54%","9/9/25 12:29 PM CDT","Record Merge"
"Closed Lost Reason (Ads) - details","closed_lost_reason__ads____detail","string","","ads&others","true","","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Closed Lost Reason (Ads) - dropdown","closed_lost_reason__ads____dropdown","enumeration","","ads&others","true","Budget; Cancelled evaluation; Feature gap; Lost to competitor; Not qualified; Timing; Went dark; Other","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1); Properties v3 card (1); Controlling pipeline stage field (1)","11.78%","1/20/26 9:46 AM CST","CRM UI"
"Closed Won Reason  (Ads) - dropdown","closed_won__ads____dropdown","enumeration","","ads&others","true","Price; Omnichanel Approach; Audicence; Timing","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Closed Won Reason (Ads) - details","closed_won_reason__ads____details","string","","ads&others","true","","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Cumulative time in ""Proposal (Ads and Other)""","hs_v2_cumulative_time_in_1558618","number","The cumulative time in seconds spent by the deal in the 'Proposal' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.54%","1/22/26 6:04 PM CST","HubSpot Calculation"
"Cumulative time in ""Pitch (Ads and Other)""","hs_v2_cumulative_time_in_544672","number","The cumulative time in seconds spent by the deal in the 'Pitch' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.13%","1/21/26 2:47 PM CST","HubSpot Calculation"
"Cumulative time in ""Qualifying & Discovery (Ads and Other)""","hs_v2_cumulative_time_in_544674","number","The cumulative time in seconds spent by the deal in the 'Qualifying & Discovery' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","17.12%","1/16/26 4:16 PM CST","HubSpot Calculation"
"Cumulative time in ""Closed won (Ads and Other)""","hs_v2_cumulative_time_in_544675","number","The cumulative time in seconds spent by the deal in the 'Closed won' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","0.41%","8/18/25 11:53 AM CDT","HubSpot Calculation"
"Cumulative time in ""Closed lost (Ads and Other)""","hs_v2_cumulative_time_in_544676","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","1.1%","12/2/25 9:40 AM CST","HubSpot Calculation"
"Cumulative time in ""Contract Sent (Ads and Other)""","hs_v2_cumulative_time_in_59159965","number","The cumulative time in seconds spent by the deal in the 'Contract Sent' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","7.73%","1/29/26 11:00 AM CST","HubSpot Calculation"
